TxID,ComponentID,Project,Qty,Timestamp,Type
TX000001,RES0002,Project1,5,2026-05-30 19:26:48,CHECKOUT
TX000002,RES0020,Project1,50,2026-05-30 19:27:02,CHECKOUT
TX000003,MOS0023,Project1,2,2026-05-30 19:28:05,CHECKOUT
TX000004,IC0067,Project1,12,2026-05-30 19:28:14,CHECKOUT
TX000005,IC0001,Project1,5,2026-05-30 19:28:27,CHECKOUT
TX000006,BJT0001,Project1,170,2026-05-30 19:31:37,CHECKOUT
TX000007,BJT0002,Project1,150,2026-05-30 19:31:48,CHECKOUT
TX000008,RES0005,Project1,200,2026-05-30 19:32:04,CHECKOUT
TX000009,RES0004,Project1,190,2026-05-30 19:32:12,CHECKOUT
TX000010,RES0003,Project1,210,2026-05-30 19:32:22,CHECKOUT
